trans_x_mm	trans_y_mm	trans_z_mm	rot_x_degrees	rot_y_degrees	rot_z_degrees	trans_x_mm_dt	trans_y_mm_dt	trans_z_mm_dt	rot_x_degrees_dt	rot_y_degrees_dt	rot_z_degrees_dt	framewise_displacement
3e-05	-3.3e-05	0.0	0.0	0.0	-0.004698	0.027706	-0.125751	-0.230765	0.016355	-0.024595	0.036101	0.0
0.003111	-0.006167	0.007994	0.0	0.01885	0.005443	0.030272	-0.132241	-0.223602	0.0158	-0.004979	0.045871	0.042508
-6.3e-05	0.118747	0.014022	0.00911	0.002979	0.0	0.026583	-0.007684	-0.218405	0.024354	-0.020083	0.040058	0.160666
0.000126	0.245084	0.023154	0.007047	0.011631	0.005042	0.026257	0.118296	-0.210104	0.021736	-0.010665	0.04473	0.149409
0.019925	0.258213	0.054406	0.008881	0.009167	0.013235	0.04554	0.131068	-0.179683	0.023015	-0.012362	0.052552	0.07508
0.010668	0.216154	0.091536	-0.000344	0.013178	0.007334	0.035768	0.088652	-0.143384	0.013235	-0.007585	0.046281	0.105146
-0.002593	0.13977	0.138635	0.004297	0.022804	0.005042	0.021992	0.011911	-0.097117	0.017321	0.002808	0.043618	0.151194
0.02158	0.1703	0.13544	-0.010084	0.019137	0.01547	0.045649	0.042084	-0.101143	0.002385	-9.3e-05	0.053676	0.082748
0.0291	0.155186	0.157675	-0.012319	0.022575	0.014037	0.052654	0.026613	-0.079739	-0.000406	0.004112	0.051873	0.05107
0.007025	0.100599	0.164635	0.001375	0.010084	0.006245	0.030064	-0.028331	-0.07361	0.012733	-0.007612	0.04371	0.113273
-0.006956	0.051781	0.189113	0.002865	0.014152	-0.001261	0.015568	-0.077506	-0.049963	0.013668	-0.002778	0.035834	0.098677
-0.005021	0.082301	0.167618	-0.010542	0.008136	-0.001719	0.016987	-0.047343	-0.072289	-0.000294	-0.008027	0.035005	0.071299
-0.005876	0.153183	0.167782	-0.005386	0.003094	-0.003839	0.015617	0.023182	-0.072956	0.004307	-0.012303	0.032515	0.08265
-0.011885	0.154799	0.173986	-0.002177	-0.00361	-0.018908	0.009093	0.024442	-0.067583	0.006961	-0.01824	0.017076	0.03563
-0.011786	0.135188	0.186517	-0.009798	0.013694	-0.003037	0.008677	0.004474	-0.055883	-0.001215	-0.00017	0.032576	0.067842
-0.010657	0.173557	0.159376	-0.008995	0.015183	-0.005844	0.00929	0.042486	-0.083855	-0.000968	0.002086	0.029399	0.071089
-0.009808	0.210494	0.163982	0.004526	0.007907	-0.012261	0.009624	0.079066	-0.08008	0.011998	-0.004423	0.022612	0.066141
-0.011634	0.195921	0.18238	0.011402	0.010371	-0.01759	0.007283	0.064136	-0.062513	0.018319	-0.001193	0.016912	0.047598
-0.012903	0.158762	0.189115	0.009798	0.005672	-0.010829	0.005498	0.02662	-0.056609	0.01616	-0.005125	0.023303	0.056563
-0.01239	0.118821	0.197757	0.009969	0.000229	-0.023663	0.005496	-0.013678	-0.048798	0.015776	-0.009802	0.010098	0.065195
-0.009054	0.096551	0.178421	0.002464	0.002063	-0.021887	0.008317	-0.036305	-0.068965	0.007716	-0.007201	0.011504	0.054642
-0.009061	0.150243	0.169119	-0.005672	-0.004985	-0.025267	0.007795	0.01703	-0.079099	-0.000976	-0.013483	0.007754	0.079201
-0.009926	0.140025	0.186829	0.007907	0.004698	-0.029565	0.006414	0.006455	-0.06222	0.012048	-0.003033	0.003085	0.052844
-0.011367	0.089112	0.198676	0.009912	0.00149	-0.027387	0.004458	-0.044815	-0.051204	0.013498	-0.005475	0.004893	0.070651
-0.009864	0.111732	0.177671	0.006073	0.000573	-0.023434	0.005446	-0.022552	-0.07304	0.009104	-0.005625	0.008475	0.052728
-0.008662	0.171323	0.172243	0.000745	0.000401	-0.020168	0.006133	0.036683	-0.079299	0.003221	-0.00503	0.011371	0.073871
-0.008493	0.170189	0.196369	-0.00573	-0.001776	-0.02183	0.005786	0.035192	-0.056004	-0.003809	-0.006441	0.009339	0.03443
