trans_x_mm	trans_y_mm	trans_z_mm	rot_x_degrees	rot_y_degrees	rot_z_degrees	trans_x_mm_dt	trans_y_mm_dt	trans_z_mm_dt	rot_x_degrees_dt	rot_y_degrees_dt	rot_z_degrees_dt	framewise_displacement
0.0	0.0	0.0	0.0	0.0	0.0	0.003403	-0.07861	-0.189164	-0.051699	-0.031888	0.010815	0.0
-1.8e-05	2.5e-05	0.034871	0.0	0.0	0.003266	0.003319	-0.078301	-0.153802	-0.050441	-0.03146	0.013901	0.037764
0.0	0.021984	0.025299	-0.01186	0.0	0.0	0.003272	-0.056059	-0.162883	-0.061043	-0.031032	0.010454	0.044749
0.0	0.078707	0.085075	-0.03157	0.0	0.0	0.003206	0.000947	-0.102616	-0.079495	-0.030605	0.010274	0.133699
0.0	0.046144	0.160379	-0.017246	0.0	0.0	0.00314	-0.031333	-0.026821	-0.063912	-0.030177	0.010093	0.120367
0.0	0.075474	0.141742	-0.03157	0.0	0.0	0.003075	-0.00172	-0.044967	-0.076978	-0.02975	0.009913	0.060467
0.000175	0.08965	0.153442	-0.000286	0.004584	0.007506	0.003184	0.01274	-0.032776	-0.044436	-0.024738	0.017238	0.063902
0.000162	0.054868	0.206655	-0.06102	0.005271	0.010772	0.003105	-0.021759	0.020928	-0.103912	-0.023624	0.020324	0.144458
4.2e-05	0.038279	0.172772	-0.02607	0.000859	0.0	0.00292	-0.038065	-0.012464	-0.067704	-0.027608	0.009371	0.094342
5.4e-05	0.033756	0.190071	-0.013751	0.003094	0.0	0.002866	-0.042305	0.005326	-0.054126	-0.024946	0.009191	0.034535
0.003821	0.018703	0.199283	0.000344	0.004469	0.0	0.006567	-0.057074	0.015029	-0.038773	-0.023143	0.00901	0.041532
0.002305	0.018356	0.194864	-0.00063	0.004985	0.0	0.004986	-0.057138	0.011101	-0.038489	-0.022199	0.008829	0.007582
6.3e-05	0.030738	0.189268	-0.007219	-0.000573	0.0	0.002678	-0.044473	0.005996	-0.04382	-0.02733	0.008649	0.03082
0.000224	0.035088	0.188976	-0.012834	0.004813	0.007678	0.002773	-0.03984	0.006195	-0.048177	-0.021516	0.016146	0.021104
2.6e-05	0.047104	0.192657	-0.007219	-0.000974	0.0	0.002509	-0.02754	0.010367	-0.041303	-0.026876	0.008288	0.032545
4.3e-05	0.055759	0.189735	0.001089	-0.000859	0.0	0.002461	-0.018602	0.007936	-0.031737	-0.026333	0.008107	0.018944
1.2e-05	0.039373	0.201821	-0.036268	-0.000745	0.0	0.002364	-0.034705	0.020513	-0.067836	-0.025792	0.007927	0.061203
5.9e-05	0.042759	0.182753	-0.023606	-0.001146	0.0	0.002345	-0.031036	0.001936	-0.053916	-0.025765	0.007746	0.033901
7e-06	0.057091	0.182686	-0.013694	-0.001833	0.0	0.002228	-0.016421	0.00236	-0.042746	-0.026024	0.007566	0.0237
0.000191	0.067069	0.190795	-0.009282	0.003896	0.008308	0.002346	-0.006159	0.01096	-0.037075	-0.019868	0.015693	0.034371
0.000125	0.045635	0.200063	-0.051051	0.006303	0.005443	0.002214	-0.02731	0.020719	-0.077586	-0.017033	0.012648	0.071819
5e-05	0.03524	0.191916	-0.017074	-0.000516	0.0	0.002074	-0.037422	0.013063	-0.042351	-0.023425	0.007024	0.058968
9e-05	0.050457	0.191255	-0.028705	0.006875	0.005615	0.002048	-0.021922	0.012893	-0.052724	-0.015606	0.012459	0.037418
1.2e-05	0.021596	0.190723	-0.028304	-0.000401	0.0	0.001904	-0.050499	0.012852	-0.051065	-0.022455	0.006663	0.04107
3.4e-05	0.03615	0.192009	-0.024866	0.002406	0.0	0.001861	-0.035662	0.014629	-0.046368	-0.01922	0.006482	0.021312
0.000103	0.032958	0.199281	-0.027846	0.005157	0.004469	0.001864	-0.038571	0.022392	-0.04809	-0.016042	0.010771	0.019434
5.3e-05	0.052664	0.182885	-0.036268	-0.000115	0.0	0.001748	-0.018582	0.006487	-0.055254	-0.020886	0.006121	0.052002
0.000124	0.038478	0.193818	-0.036268	0.004698	0.005099	0.001754	-0.032484	0.017911	-0.053996	-0.015645	0.01104	0.03384
0.000181	0.044219	0.188159	-0.036268	0.004068	0.007907	0.001745	-0.02646	0.012743	-0.052738	-0.015848	0.013667	0.014457
0.000163	0.061283	0.182713	-0.020455	0.006875	0.005214	0.001661	-0.009113	0.007788	-0.035666	-0.012613	0.010794	0.041127
0.000131	0.044615	0.188816	-0.027674	0.003266	0.004985	0.001564	-0.025498	0.014382	-0.041627	-0.015795	0.010384	0.032452
2.4e-05	0.039736	0.183275	-0.026643	-0.000516	0.0	0.001391	-0.030094	0.009332	-0.039338	-0.019149	0.005219	0.019077
9e-05	0.038541	0.19743	-0.059301	0.00573	0.004584	0.001391	-0.031005	0.023978	-0.070738	-0.012476	0.009622	0.053366
-3.2e-05	0.03225	0.174211	-0.039821	-0.00063	0.0	0.001204	-0.037013	0.00125	-0.05	-0.018408	0.004858	0.056182
7e-05	0.044203	0.187679	-0.039076	0.006016	0.00361	0.00124	-0.024777	0.015209	-0.047997	-0.011335	0.008287	0.035123
2.1e-05	0.048892	0.205374	-0.084912	0.001375	0.0	0.001125	-0.019805	0.033395	-0.092574	-0.015548	0.004496	0.069633
9.7e-05	0.041428	0.177307	-0.045436	0.003151	0.005672	0.001136	-0.026985	0.005819	-0.05184	-0.013344	0.009988	0.076556
7.7e-05	0.048707	0.187323	-0.048931	0.003896	0.006875	0.00105	-0.019423	0.016326	-0.054077	-0.012172	0.01101	0.022065
8.3e-05	0.036523	0.177376	-0.044977	0.007047	0.006532	0.00099	-0.031324	0.00687	-0.048865	-0.008593	0.010487	0.028637
5.3e-05	0.05464	0.167667	-0.054374	0.004641	0.004125	0.000895	-0.012924	-0.002348	-0.057004	-0.010572	0.007899	0.040257
3e-06	0.042332	0.168667	-0.051452	0.005844	0.0	0.000779	-0.024949	-0.000857	-0.052823	-0.008941	0.003594	0.020557
-2.5e-05	0.039812	0.158887	-0.041826	0.002693	0.0	0.000685	-0.027185	-0.010145	-0.041939	-0.011665	0.003413	0.023478
-9e-06	0.051553	0.168862	-0.059129	-5.7e-05	0.0	0.000635	-0.015161	0.000321	-0.057984	-0.013987	0.003233	0.039232
8.5e-05	0.033432	0.187539	-0.069672	0.008021	0.006016	0.000664	-0.032999	0.019489	-0.067269	-0.005482	0.009068	0.058392
6.6e-05	0.053837	0.156175	-0.060848	0.00487	0.006704	0.000579	-0.012311	-0.011384	-0.057187	-0.008205	0.009576	0.062839
9e-06	0.08508	0.167758	-0.045894	0.002177	0.0	0.000456	0.019216	0.00069	-0.040974	-0.01047	0.002691	0.064133
-5e-06	0.022082	0.175361	-0.029106	-0.001719	0.0	0.000377	-0.043499	0.008784	-0.022928	-0.013939	0.002511	0.088665
-6e-06	0.030798	0.196857	-0.059244	-0.000516	0.0	0.00031	-0.0345	0.030771	-0.051808	-0.012308	0.00233	0.057563
-2.8e-05	0.052248	0.166887	-0.055176	-0.000344	0.0	0.000222	-0.012767	0.001292	-0.046482	-0.011709	0.002149	0.055142
-4.8e-05	0.076012	0.174147	-0.043373	-0.000974	0.0	0.000137	0.011281	0.009043	-0.033421	-0.011911	0.001969	0.041894
0.000152	0.052459	0.203233	-0.099236	0.006933	0.006933	0.000271	-0.011989	0.03862	-0.088025	-0.003577	0.008721	0.114539
7e-06	0.068471	0.160407	-0.068468	-0.000401	0.0	6e-05	0.004306	-0.003715	-0.055999	-0.010483	0.001608	0.098283
-3.8e-05	0.057096	0.172098	-0.066635	0.000344	0.0	-5e-05	-0.006786	0.008467	-0.052908	-0.009311	0.001427	0.025361
6.7e-05	0.047839	0.14733	-0.059989	0.004813	0.010485	-1.1e-05	-0.01576	-0.01581	-0.045004	-0.004414	0.011732	0.05298
-2.1e-05	0.083292	0.139705	-0.057009	0.001719	0.003323	-0.000165	0.019977	-0.022944	-0.040766	-0.00708	0.004389	0.054717
0.000218	0.04362	0.175956	-0.088923	0.008766	0.008881	9e-06	-0.019412	0.013798	-0.071421	0.000394	0.009767	0.115012
-5.7e-05	0.05681	0.14372	-0.065489	-0.001203	0.0	-0.000332	-0.005939	-0.017947	-0.046729	-0.009147	0.000705	0.082601
0.000168	0.059669	0.140582	-0.048472	0.006417	0.003953	-0.000173	-0.002797	-0.020594	-0.028454	-0.0011	0.004478	0.031171
-6.1e-05	0.041125	0.144685	-0.063083	0.000172	0.0	-0.000467	-0.021057	-0.016	-0.041807	-0.006917	0.000344	0.044526
0.000132	0.082048	0.101774	-0.046753	0.005329	0.00848	-0.00034	0.020149	-0.05842	-0.024219	-0.001333	0.008644	0.110178
3.8e-05	0.059895	0.106861	-0.052655	0.004125	0.005386	-0.0005	-0.001721	-0.052842	-0.028862	-0.002109	0.005369	0.036235
7.5e-05	0.053028	0.116024	-0.052196	0.004297	0.006188	-0.000528	-0.008305	-0.043188	-0.027145	-0.001509	0.00599	0.017318
-7.3e-05	0.061667	0.118395	-0.069958	-0.000573	0.0	-0.000742	0.000618	-0.040326	-0.043649	-0.005952	-0.000378	0.036308
-4e-06	0.042162	0.139876	-0.063541	0.004183	0.004469	-0.000739	-0.018604	-0.018354	-0.035974	-0.000768	0.00391	0.054705
4.7e-05	0.049669	0.12333	-0.0962	0.00911	0.00361	-0.000753	-0.010814	-0.034409	-0.067375	0.004586	0.002871	0.057654
-1.9e-05	0.054729	0.123814	-0.055634	0.001261	0.0	-0.000885	-0.005471	-0.033434	-0.02555	-0.002835	-0.00092	0.05101
-1.7e-05	0.045095	0.150139	-0.069958	-0.001719	0.0	-0.000949	-0.014822	-0.006618	-0.038616	-0.005388	-0.0011	0.051062
