trans_x_mm	trans_y_mm	trans_z_mm	rot_x_degrees	rot_y_degrees	rot_z_degrees	trans_x_mm_dt	trans_y_mm_dt	trans_z_mm_dt	rot_x_degrees_dt	rot_y_degrees_dt	rot_z_degrees_dt	framewise_displacement
0.0	0.0	0.0	0.0	0.0	0.0	0.009697	-0.171328	-0.065826	0.092394	0.043388	0.060671	0.0
0.007062	0.009398	-0.004817	-0.005672	-0.005099	0.007162	0.016834	-0.161795	-0.070779	0.086529	0.038353	0.068274	0.036926
0.027402	0.19854	-0.056458	-0.14576	-0.033002	0.026585	0.037248	0.027483	-0.122556	-0.053752	0.010514	0.088138	0.424673
0.063958	0.275755	-0.070309	-0.196353	-0.083766	0.021429	0.073879	0.104833	-0.136544	-0.104538	-0.040186	0.083423	0.220572
0.049257	0.251727	-0.024975	-0.18879	-0.060676	0.0	0.059253	0.080941	-0.091346	-0.097168	-0.017032	0.062435	0.129513
0.018436	0.265059	-0.037987	-0.142265	-0.012319	-0.014725	0.028507	0.094408	-0.104494	-0.050836	0.031389	0.048151	0.152815
0.051708	0.22442	-0.081329	-0.102903	0.010714	0.000401	0.061854	0.053905	-0.147972	-0.011667	0.054486	0.063718	0.184903
0.054806	0.199019	-0.051531	-0.07924	-0.012548	-0.013293	0.065026	0.028639	-0.118311	0.011803	0.031288	0.050464	0.111197
0.001468	0.141636	-0.035651	-0.078724	-0.016043	-0.026986	0.011763	-0.028608	-0.102567	0.012126	0.027857	0.037212	0.142051
0.031997	0.139327	-0.035068	-0.064458	-0.019652	-0.015126	0.042367	-0.030782	-0.10212	0.0262	0.024312	0.049513	0.05937
0.009791	0.170857	-0.025761	-0.071849	-0.016329	-0.033174	0.020236	0.000884	-0.09295	0.018616	0.027699	0.031906	0.088143
0.020441	0.150344	0.002157	-0.071104	-0.022231	-0.026413	0.030961	-0.019494	-0.065168	0.019168	0.021861	0.039108	0.070782
-0.014585	0.119045	0.009915	-0.077693	-0.008537	-0.034435	-0.003991	-0.050657	-0.057546	0.012386	0.035619	0.031527	0.098784
-0.001578	0.195016	-0.004314	-0.081074	-0.021142	-0.028361	0.009091	0.025449	-0.071911	0.008812	0.023078	0.038042	0.122458
0.011996	0.229405	0.002372	-0.091158	-0.015699	-0.025439	0.02274	0.059974	-0.065362	-0.001465	0.028585	0.041405	0.070749
-0.007496	0.21808	0.014758	-0.10021	-0.009626	-0.046352	0.003323	0.048784	-0.053112	-0.01071	0.034722	0.020932	0.074652
-0.011748	0.197718	0.024777	-0.094825	-0.014209	-0.043717	-0.000854	0.028558	-0.043229	-0.005518	0.030203	0.024008	0.045631
-0.00843	0.229992	0.019496	-0.097976	-0.005558	-0.038388	0.002538	0.060967	-0.048646	-0.008862	0.038918	0.029778	0.055823
-0.010107	0.210491	0.029796	-0.109378	-0.014267	-0.039992	0.000936	0.041602	-0.038483	-0.020457	0.030273	0.028615	0.050428
-0.016649	0.17994	0.037555	-0.095569	-0.020684	-0.051967	-0.005531	0.011186	-0.03086	-0.006841	0.02392	0.017081	0.072953
-0.018933	0.138507	0.035005	-0.082391	-0.017819	-0.044347	-0.00774	-0.030111	-0.033546	0.006144	0.026849	0.025142	0.066917
-0.01834	0.173571	0.033679	-0.088579	-0.019767	-0.057009	-0.007072	0.005088	-0.035008	-0.000236	0.024965	0.012921	0.055133
-0.01319	0.170671	0.050812	-0.088579	-0.019538	-0.058843	-0.001848	0.002324	-0.018012	-0.000429	0.025258	0.011528	0.026983
-0.02259	0.148329	0.058104	-0.099064	-0.023147	-0.05042	-0.011173	-0.019883	-0.010856	-0.011107	0.021713	0.020391	0.058684
-0.020744	0.150255	0.046986	-0.098549	-0.021772	-0.04916	-0.009252	-0.017821	-0.02211	-0.010785	0.023152	0.022092	0.017639
-0.014443	0.21032	0.038914	-0.098893	-0.018793	-0.05128	-0.002876	0.042379	-0.030319	-0.011322	0.026195	0.020413	0.079188
-0.014503	0.218049	0.053329	-0.095684	-0.016215	-0.053973	-0.002861	0.050244	-0.01604	-0.008306	0.028837	0.018161	0.029604
-0.018734	0.179356	0.06368	-0.097403	-0.018048	-0.056666	-0.007018	0.011686	-0.005825	-0.010218	0.027068	0.015909	0.058725
