onset	duration	trial_type
8.42	3.75	small_loss_antic
12.29	1.62	small_loss_neg_feedback
13.94	3.74	large_loss_antic
17.79	1.62	large_loss_pos_feedback
19.450000000000006	5.74	neutral_antic
25.3	1.62	neutral_pos_feedback
26.950000000000006	3.74	neutral_antic
30.81	1.62	neutral_pos_feedback
32.46	5.74	large_reward_antic
38.31	1.62	large_reward_pos_feedback
39.96	5.22	small_reward_antic
45.3	1.63	small_reward_pos_feedback
46.97	3.72	small_loss_antic
50.81	1.63	small_loss_neg_feedback
52.48	3.72	small_reward_antic
56.31	1.63	small_reward_neg_feedback
57.98	5.24	large_reward_antic
63.34	1.62	large_reward_pos_feedback
64.99000000000001	3.74	large_loss_antic
68.84	1.62	large_loss_pos_feedback
70.49000000000002	4.24	small_reward_antic
74.85000000000002	1.62	small_reward_pos_feedback
76.5	4.22	large_reward_antic
80.84	1.63	large_reward_neg_feedback
82.51	4.72	neutral_antic
87.34	1.63	neutral_neg_feedback
89.01	3.72	large_reward_antic
92.85	1.63	large_reward_neg_feedback
94.52	4.72	large_loss_antic
99.35	1.63	large_loss_pos_feedback
101.02	3.7	small_reward_antic
104.84	1.65	small_reward_neg_feedback
106.53	3.7	large_reward_antic
110.35	1.65	large_reward_neg_feedback
112.03	5.7	small_loss_antic
117.85	1.65	small_loss_neg_feedback
119.54	3.75	large_loss_antic
123.41	1.6	large_loss_pos_feedback
125.04	5.75	large_loss_antic
130.92	1.6	large_loss_pos_feedback
132.55	4.75	small_reward_antic
137.42000000000002	1.6	small_reward_neg_feedback
139.06	4.29	large_loss_antic
143.46	1.57	large_loss_neg_feedback
145.06	4.29	neutral_antic
149.47	1.57	neutral_pos_feedback
151.07	6.29	large_loss_antic
157.48000000000005	1.57	large_loss_pos_feedback
159.08	4.29	large_loss_antic
163.48000000000005	1.57	large_loss_pos_feedback
165.08	3.77	small_loss_antic
168.97	1.58	small_loss_pos_feedback
170.59	5.27	large_loss_antic
175.98000000000005	1.58	large_loss_pos_feedback
177.59	4.27	large_reward_antic
181.98	1.58	large_reward_pos_feedback
183.6	3.74	neutral_antic
187.45	1.62	neutral_neg_feedback
189.11	4.24	neutral_antic
193.46	1.62	neutral_neg_feedback
195.11	6.24	small_reward_antic
201.47	1.62	small_reward_pos_feedback
203.12	6.24	neutral_antic
209.47	1.62	neutral_pos_feedback
211.13	5.74	small_reward_antic
216.98	1.62	small_reward_pos_feedback
218.63	3.74	neutral_antic
222.49	1.62	neutral_neg_feedback
224.14	3.74	small_reward_antic
227.99	1.62	small_reward_pos_feedback
229.64	6.19	small_loss_antic
235.95	1.67	small_loss_neg_feedback
237.65	3.69	neutral_antic
241.46	1.67	neutral_neg_feedback
243.16	4.19	small_loss_antic
247.46	1.67	small_loss_neg_feedback
249.16	4.69	large_reward_antic
253.97	1.67	large_reward_neg_feedback
255.67	3.71	large_reward_antic
259.51	1.63	large_reward_pos_feedback
261.17	3.71	large_loss_antic
265.01	1.63	large_loss_neg_feedback
266.67999999999995	4.21	small_loss_antic
271.02	1.63	small_loss_pos_feedback
272.69	3.75	large_reward_antic
276.54999999999995	1.6	large_reward_neg_feedback
278.19	3.75	small_loss_antic
282.06	1.6	small_loss_neg_feedback
283.7	3.75	small_reward_antic
287.57	1.6	small_reward_neg_feedback
289.2	6.29	large_reward_antic
295.61	1.57	large_reward_pos_feedback
297.21	5.29	neutral_antic
302.61	1.57	neutral_neg_feedback
304.21	5.29	small_loss_antic
309.62	1.57	small_loss_neg_feedback
311.22	4.79	small_loss_antic
316.13	1.57	small_loss_neg_feedback
317.73	4.34	small_reward_antic
322.17999999999995	1.52	small_reward_pos_feedback
